company,title,location,location_metro,location_type,salary,annual_salary_min,annual_salary_max,seniority,function,date_posted,source_url
carta,"Implementations Project Manager, Fund Admin","Rio de Janeiro, Brazil","Rio de Janeiro, Brazil",onsite,,,,manager,operations,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/4936521003
carta,Implementations Specialist,"Rio de Janeiro, Brazil","Rio de Janeiro, Brazil",onsite,,,,mid,operations,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/4936543003
carta,International Tax Manager,"Seattle, WA",Seattle Metro,onsite,"$123,548 - $145,350",123548.0,145350.0,manager,finance,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/7478847003
carta,International Tax Manager,"Sandy, UT",Salt Lake City Metro,onsite,,,,manager,finance,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/7478849003
carta,International Tax Manager,"New York, NY",New York Metro,onsite,"$156,400 - $184,000",156400.0,184000.0,manager,finance,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/7589183003
carta,"Manager, Fund Controller","New York, NY; Hamilton, NJ",New York Metro,onsite,"$148,800 - $186,000",148800.0,186000.0,manager,operations,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/7595038003
carta,"Manager, Tax Delivery","Seattle, WA",Seattle Metro,onsite,"$123,548 - $145,350",123548.0,145350.0,manager,finance,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/6294044003
carta,"Manager, Tax Delivery","Sandy, UT",Salt Lake City Metro,onsite,,,,manager,finance,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/6294047003
carta,"Mid Market Account Executive, LLC","New York, NY",New York Metro,onsite,"$117,000 - $195,000",117000.0,195000.0,mid,sales,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/7506961003
carta,Product Design Lead,"San Francisco, CA; Santa Clara, CA; Seattle, WA; New York, NY",San Francisco Bay Area,onsite,"$191,750 - $225,000",191750.0,225000.0,senior,product,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/7514076003
carta,Sales Development Representative,"Sydney, Australia","Sydney, Australia",onsite,,,,mid,sales,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/6770401003
carta, Sales Development Representative - Private Equity,"San Francisco, CA",San Francisco Bay Area,onsite,"$58,998 - $98,330",58998.0,98330.0,mid,sales,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/7599038003
carta,"Senior Account Executive, Limited Partners","Chicago, IL",Chicago Metro,onsite,,,,senior,sales,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/7505746003
carta,"Senior Account Executive, Venture Capital, Established","San Francisco, CA",San Francisco Bay Area,onsite,"$199,200 - $332,000",199200.0,332000.0,senior,sales,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/6287262003
carta,"Senior Associate, Tax Delivery","Seattle, WA",Seattle Metro,onsite,"$90,440 - $106,400",90440.0,106400.0,senior,finance,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/6014075003
carta,"Senior Associate, Tax Delivery","Sandy, UT",Salt Lake City Metro,onsite,,,,senior,finance,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/6652041003
carta,Senior Fund Accountant,"Hamilton, New Jersey",New York Metro,onsite,,,,senior,operations,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/5705559003
carta,"Senior Manager, People Systems","San Francisco, CA;  New York, NY",San Francisco Bay Area,onsite,"$196,000 - $245,000",196000.0,245000.0,senior_manager,people,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/7497384003
carta,"Senior Manager, People Systems","Seattle, WA",Seattle Metro,onsite,"$186,200 - $232,750",186200.0,232750.0,senior_manager,people,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/7610688003
carta,Senior Principal Product Designer,"San Francisco, CA; Santa Clara, CA; Seattle, WA; New York, NY",San Francisco Bay Area,onsite,"$235,600 - $294,500",235600.0,294500.0,senior,product,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/7537972003
carta,Senior Product Marketing Manager,"London, England","London, UK",onsite,,,,manager,marketing,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/6650288003
carta,"Senior Product Marketing Manager, Venture Capital","San Francisco, CA; Seattle, WA; New York, NY",San Francisco Bay Area,onsite,"$147,050 - $173,000",147050.0,173000.0,manager,marketing,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/7528290003
carta,"Senior Software Engineer, Data Ecosystem","Toronto, Ontario, Canada","Toronto, Canada",onsite,"$142,800 - $168,000",142800.0,168000.0,senior,engineering,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/7581642003
carta,"Senior Software Engineer, Data Ecosystem","Waterloo, Ontario, Canada","Waterloo, Canada",onsite,"$142,800 - $168,000",142800.0,168000.0,senior,engineering,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/7560247003
carta,"Senior Software Engineer, Fund Operations","Waterloo, Ontario, Canada","Waterloo, Canada",onsite,"$142,800 - $213,000",142800.0,213000.0,senior,engineering,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/7419086003
carta,"Senior Software Engineer, Fund Operations","San Francisco, CA; Santa Clara, CA, Seattle, WA; New York, NY",San Francisco Bay Area,onsite,"$170,000 - $237,000",170000.0,237000.0,senior,engineering,2026-02-01 17:48:22,https://job-boards.greenhouse.io/carta/jobs/7417799003
